Severity,Start_Time,Weather_Condition,Start_Lat,Start_Lng,City,State,Hour,Day
2,2017-03-09 11:35:36,Clear,33.968791,-84.52694100000002,Marietta,GA,11,Thursday
2,2020-02-20 14:02:56,Fair,43.59297,-123.24644,Yoncalla,OR,14,Thursday
2,2022-10-12 15:51:06,Fair,39.056366,-77.154224,Rockville,MD,15,Wednesday
2,2021-03-25 18:34:22,Partly Cloudy,43.68881821611553,-93.32019925072994,Albert Lea,MN,18,Thursday
2,2022-08-18 21:00:00,Fair,30.504587,-91.144249,Baton Rouge,LA,21,Thursday
3,2020-03-26 16:25:54,Fair,34.057327,-118.165031,Monterey Park,CA,16,Thursday
2,2019-08-12 05:55:35,Fair,33.466942,-82.01059000000002,Augusta,GA,5,Monday
3,2018-08-28 06:49:30,Clear,34.033669,-84.576927,Kennesaw,GA,6,Tuesday
2,2022-06-16 11:16:30,Partly Cloudy,33.781738,-78.988703,Conway,SC,11,Thursday
2,2022-12-30 16:40:00,Mostly Cloudy,33.778744,-117.87663,Santa Ana,CA,16,Friday
3,2017-06-12 13:25:50,Partly Cloudy,41.76364,-87.90538000000002,La Grange,IL,13,Monday
2,2022-03-07 17:54:31,Fair,33.66193,-117.87545,Newport Beach,CA,17,Monday
2,2017-07-25 06:47:54,Mostly Cloudy,34.066238,-84.292969,Alpharetta,GA,6,Tuesday
2,2016-07-04 05:06:45,Scattered Clouds,27.958998,-82.538826,Tampa,FL,5,Monday
2,2017-03-15 08:31:59,Mostly Cloudy,37.37469,-122.06781,Mountain View,CA,8,Wednesday
3,2018-04-04 01:23:23,Overcast,34.07574,-118.46878999999998,Los Angeles,CA,1,Wednesday
3,2017-06-26 11:38:48,Clear,33.346985,-117.158836,Fallbrook,CA,11,Monday
2,2019-12-31 18:04:00,Fair,45.07449,-93.28686,Minneapolis,MN,18,Tuesday
2,2021-02-16 16:37:36,Fair,35.102829,-81.092438,Clover,SC,16,Tuesday
2,2022-06-17 16:29:00,Fair,39.285621,-120.699496,Alta,CA,16,Friday
3,2020-02-14 13:08:51,Cloudy,44.63023,-123.06179,Albany,OR,13,Friday
2,2020-10-28 13:19:00,Fair,28.53927,-81.255138,Orlando,FL,13,Wednesday
2,2019-12-20 20:45:00,Fair,37.663343,-122.105623,Hayward,CA,20,Friday
2,2018-01-10 01:19:10,Scattered Clouds,34.136375,-117.536865,Rancho Cucamonga,CA,1,Wednesday
2,2020-12-03 03:19:39,Fair,40.003669,-77.10945799999998,York Springs,PA,3,Thursday
2,2022-09-21 12:21:00,Fair,32.241101,-107.193978,Las Cruces,NM,12,Wednesday
2,2022-07-17 20:17:44,Fair,34.545514000000004,-82.698272,Anderson,SC,20,Sunday
2,2022-07-01 06:50:49,Fair,40.73016,-73.364278,West Babylon,NY,6,Friday
2,2021-07-27 14:46:30,Mostly Cloudy,39.53349709491953,-119.78752970638376,Reno,NV,14,Tuesday
2,2019-05-31 16:25:36,Fair,38.47342,-122.73049,Santa Rosa,CA,16,Friday
2,2018-01-22 16:19:44,Light Snow,41.212868,-95.933235,Omaha,NE,16,Monday
2,2022-01-26 08:43:00,Partly Cloudy,32.69279122337011,-117.09478497449352,San Diego,CA,8,Wednesday
2,2020-02-19 10:47:26,Fair,40.89112100000001,-74.042473,Hackensack,NJ,10,Wednesday
2,2019-06-13 09:09:20,Mostly Cloudy,34.82713,-82.29314000000002,Greenville,SC,9,Thursday
2,2017-08-18 13:45:38,Scattered Clouds,36.135761,-86.800995,Nashville,TN,13,Friday
2,2022-09-23 15:48:50,Fair,43.176915,-77.639461,Rochester,NY,15,Friday
2,2021-09-17 14:26:45,T-Storm,36.032449,-86.767217,Brentwood,TN,14,Friday
2,2021-06-10 15:45:35,Partly Cloudy,29.404755,-98.441746,San Antonio,TX,15,Thursday
2,2022-09-09 17:33:00,Fair,38.254005,-122.303599,Napa,CA,17,Friday
2,2020-09-24 07:15:00,Fair,37.357388,-76.736358,Williamsburg,VA,7,Thursday
2,2023-01-05 12:06:00,Cloudy,36.56165900000001,-119.628882,Selma,CA,12,Thursday
2,2018-10-29 06:34:59,Clear,32.71241,-97.063004,Arlington,TX,6,Monday
2,2020-10-08 08:57:43,Fair,35.180038,-80.81440699999997,Charlotte,NC,8,Thursday
2,2021-01-14 21:59:48,Fair,36.19486,-81.104258,North Wilkesboro,NC,21,Thursday
2,2016-09-02 18:55:39,Scattered Clouds,42.9743,-83.679016,Burton,MI,18,Friday
3,2017-07-13 16:38:24,Scattered Clouds,42.11775,-87.77868000000002,Northbrook,IL,16,Thursday
2,2021-04-28 14:14:30,Cloudy,44.97134000000001,-93.251959,Minneapolis,MN,14,Wednesday
3,2021-04-20 11:19:26,Fair,34.034206,-118.349991,Los Angeles,CA,11,Tuesday
2,2022-11-03 14:01:05,Mostly Cloudy,25.753384,-80.338165,Miami,FL,14,Thursday
2,2022-03-01 11:21:00,Fair,34.055644,-118.214099,Los Angeles,CA,11,Tuesday
2,2018-01-22 20:16:32,Light Snow,45.125702,-93.346039,Minneapolis,MN,20,Monday
2,2018-01-09 05:09:30,Clear,40.316292,-75.553658,Gilbertsville,PA,5,Tuesday
3,2022-04-25 16:25:10,Fair,34.02985,-118.220757,Los Angeles,CA,16,Monday
2,2021-05-06 05:23:19,Fair,38.780331,-77.17940300000002,Springfield,VA,5,Thursday
3,2019-03-05 07:11:57,Overcast,37.33840900000001,-121.854233,San Jose,CA,7,Tuesday
4,2017-10-23 01:09:23,Mostly Cloudy,40.861739,-73.804528,Bronx,NY,1,Monday
3,2018-03-28 19:31:40,Mostly Cloudy,41.816071,-71.413963,Providence,RI,19,Wednesday
2,2018-04-25 10:50:42,Clear,29.698782,-95.359581,Houston,TX,10,Wednesday
3,2018-07-03 13:08:47,Partly Cloudy,40.806892,-73.924423,Bronx,NY,13,Tuesday
2,2019-07-24 08:17:57,Fair,42.039349,-88.36367,Elgin,IL,8,Wednesday
3,2020-10-23 15:39:43,Mostly Cloudy,28.631571,-81.388336,Maitland,FL,15,Friday
2,2019-08-16 07:05:10,Fair,36.79567,-76.16373399999998,Virginia Beach,VA,7,Friday
2,2022-06-29 20:11:30,Fair,34.190731,-117.36108,San Bernardino,CA,20,Wednesday
2,2021-02-14 21:16:00,Cloudy,32.47521042808305,-90.13128876643118,Madison,MS,21,Sunday
2,2020-05-22 16:59:00,Fair,38.325199,-122.933615,Bodega,CA,16,Friday
2,2023-02-15 15:40:00,Fair,34.13453221,-117.65283465,Upland,CA,15,Wednesday
3,2018-08-18 17:47:52,Thunderstorms and Rain,41.826786,-71.418976,Providence,RI,17,Saturday
2,2023-02-28 11:21:00,Fair,32.768045,-97.318608,Fort Worth,TX,11,Tuesday
2,2021-01-06 00:41:37,Fair,35.139565999999995,-106.598764,Albuquerque,NM,0,Wednesday
2,2021-05-30 20:12:00,Fair,33.774307,-117.920094,Garden Grove,CA,20,Sunday
3,2018-02-16 16:16:50,Mostly Cloudy,43.075649,-83.76289399999997,Flint,MI,16,Friday
2,2017-05-05 13:45:04,Clear,28.55909,-81.22908000000002,Orlando,FL,13,Friday
2,2017-09-21 10:13:34,Clear,40.692017,-77.601875,Reedsville,PA,10,Thursday
2,2018-01-11 09:09:16,Overcast,40.73525,-73.91933,Woodside,NY,9,Thursday
2,2019-07-10 06:57:22,Fair,42.24073,-87.86261,Lake Forest,IL,6,Wednesday
2,2021-05-13 04:36:30,Fair,38.555561,-121.441157,Sacramento,CA,4,Thursday
3,2021-12-26 19:55:30,Fair,36.00922,-83.970413,Knoxville,TN,19,Sunday
2,2022-09-08 20:54:00,Fair,32.456486,-93.774536,Shreveport,LA,20,Thursday
2,2022-03-01 08:29:00,Fair,37.333635,-122.020115,Cupertino,CA,8,Tuesday
2,2017-06-29 08:51:59,Mostly Cloudy,25.80702,-80.20572,Miami,FL,8,Thursday
2,2020-11-15 03:08:00,Mostly Cloudy,27.462478000000004,-82.57185799999998,Bradenton,FL,3,Sunday
2,2017-12-19 19:10:18,Clear,36.093483,-79.441162,Burlington,NC,19,Tuesday
2,2019-08-05 16:59:08,Mostly Cloudy,31.67798,-106.31633,El Paso,TX,16,Monday
2,2020-08-03 06:05:05,Fair,27.981527000000003,-82.384079,Tampa,FL,6,Monday
2,2018-12-10 16:49:47,Scattered Clouds,39.44198,-76.35559,Joppa,MD,16,Monday
2,2021-02-02 23:54:35,Fog,42.46934,-91.086799,Dyersville,IA,23,Tuesday
3,2020-12-16 06:30:40,Cloudy,30.429234,-90.085938,Covington,LA,6,Wednesday
2,2017-01-13 05:37:46,Overcast,32.878840000000004,-96.71797,Dallas,TX,5,Friday
2,2022-08-09 16:18:56,Thunder,35.25724053,-81.02231383,Belmont,NC,16,Tuesday
2,2021-08-30 16:08:06,Fair,25.880906,-80.226609,Miami,FL,16,Monday
2,2021-12-17 16:03:00,Fair,40.232314,-76.94521999999998,Camp Hill,PA,16,Friday
2,2022-01-21 10:26:39,Mostly Cloudy,39.974659,-111.340523,Springville-Mapleton,UT,10,Friday
3,2021-10-22 06:11:59,Partly Cloudy,36.845131,-76.277237,Norfolk,VA,6,Friday
2,2017-03-29 12:46:10,Partly Cloudy,40.86127000000001,-111.90064,Woods Cross,UT,12,Wednesday
2,2018-01-16 09:27:46,Mostly Cloudy,47.849457,-122.220512,Bothell,WA,9,Tuesday
3,2020-05-25 18:24:43,Light Rain with Thunder,38.775478,-90.340782,Hazelwood,MO,18,Monday
2,2017-07-01 12:23:47,Partly Cloudy,37.544529,-122.00796499999998,Fremont,CA,12,Saturday
2,2021-05-15 15:11:00,Fair,35.372902,-118.975044,Bakersfield,CA,15,Saturday
2,2022-01-14 19:04:30,Light Rain,39.072074,-94.52412,Kansas City,MO,19,Friday
1,2020-06-17 15:29:48,Fair,39.10526,-84.39464,Cincinnati,OH,15,Wednesday
2,2018-12-10 08:53:32,Light Rain,33.74981,-84.23133,Decatur,GA,8,Monday
2,2022-09-07 06:17:00,Fair,27.974668,-82.45365600000002,Tampa,FL,6,Wednesday
2,2020-06-15 15:32:48,Fair,30.35425,-91.11026,Baton Rouge,LA,15,Monday
2,2021-12-17 18:32:31,Cloudy,41.363911,-83.087967,Fremont,OH,18,Friday
2,2021-03-25 14:36:30,Fair,38.551573,-121.474087,Sacramento,CA,14,Thursday
2,2020-11-01 21:25:19,Fair,30.213137,-97.753515,Austin,TX,21,Sunday
2,2022-05-23 10:28:39,Partly Cloudy,47.680961,-114.119476,Polson,MT,10,Monday
2,2017-11-03 07:42:52,Overcast,35.555931,-97.624535,Oklahoma City,OK,7,Friday
3,2022-07-26 05:52:20,T-Storm,25.847029,-80.207611,Miami,FL,5,Tuesday
2,2021-05-27 21:08:14,Partly Cloudy,35.25412,-80.85749799999998,Charlotte,NC,21,Thursday
2,2020-09-18 00:31:12,Light Rain,35.127429,-80.875147,Charlotte,NC,0,Friday
2,2020-12-02 14:03:30,Fair,25.941869,-80.30255799999998,Hialeah,FL,14,Wednesday
2,2019-12-13 08:28:50,Rain,34.186409000000005,-80.211472,Bishopville,SC,8,Friday
3,2018-03-03 10:20:50,Clear,39.668849,-74.89304200000002,Hammonton,NJ,10,Saturday
3,2022-07-19 17:32:43,Partly Cloudy,36.821903000000006,-77.959717,Alberta,VA,17,Tuesday
2,2019-10-11 19:58:34,Fair,33.873642,-118.06105,Cerritos,CA,19,Friday
4,2018-12-25 20:32:30,Partly Cloudy,39.13948,-76.6154,Glen Burnie,MD,20,Tuesday
1,2020-05-08 05:32:03,Partly Cloudy,34.0317,-84.0664,Suwanee,GA,5,Friday
2,2019-09-25 02:08:00,Fair,35.32527800000001,-119.038056,Bakersfield,CA,2,Wednesday
2,2021-09-12 17:40:00,Fair,38.46824,-121.39901,Sacramento,CA,17,Sunday
2,2019-12-28 06:46:00,Fair,35.19378,-118.536415,Tehachapi,CA,6,Saturday
2,2020-04-01 20:28:05,Fair,28.27878,-81.34339,Kissimmee,FL,20,Wednesday
2,2020-01-27 07:02:39,Cloudy,30.42238,-84.11934699999998,Tallahassee,FL,7,Monday
2,2022-12-28 13:40:00,Fair,41.232293,-73.22055999999998,Trumbull,CT,13,Wednesday
2,2022-08-02 07:28:44,Fair,37.57716,-77.4645,Richmond,VA,7,Tuesday
2,2021-01-10 08:21:11,Cloudy,44.948877,-92.959839,Saint Paul,MN,8,Sunday
3,2020-02-29 09:57:49,Mostly Cloudy,33.960041,-118.280762,Los Angeles,CA,9,Saturday
3,2018-07-03 08:10:47,Clear,47.767494,-122.322792,Seattle,WA,8,Tuesday
2,2022-01-20 15:17:30,Fair,44.67338204362548,-93.29414963677742,Lakeville,MN,15,Thursday
4,2019-09-30 12:42:56,Fair,40.407188,-104.992989,Loveland,CO,12,Monday
3,2019-05-17 14:58:40,Light Rain,41.044201,-73.76406899999998,White Plains,NY,14,Friday
2,2022-04-08 16:18:29,Fair,32.514702,-93.747115,Shreveport,LA,16,Friday
2,2022-02-10 13:36:00,Light Snow,48.89521,-95.418591,Warroad,MN,13,Thursday
2,2019-01-23 18:16:39,Overcast,41.85065,-71.42499000000002,Providence,RI,18,Wednesday
2,2022-11-03 20:13:06,Fair,36.650905,-78.484771,Clarksville,VA,20,Thursday
2,2016-08-30 19:59:01,Scattered Clouds,38.553505,-121.409332,Sacramento,CA,19,Tuesday
2,2022-07-13 09:41:46,Partly Cloudy,29.725536,-95.412818,Houston,TX,9,Wednesday
2,2020-03-09 08:56:41,Fair,40.09684,-78.936447,Stoystown,PA,8,Monday
3,2020-11-06 04:52:04,Fair,32.884895,-97.31765,Fort Worth,TX,4,Friday
4,2020-02-07 10:05:24,Rain,25.78834,-80.20831,Miami,FL,10,Friday
2,2022-06-13 15:09:05,Cloudy,41.88800000000001,-88.034126,Lombard,IL,15,Monday
2,2021-08-06 07:58:02,Fair,42.242199,-71.027603,Quincy,MA,7,Friday
2,2022-12-15 20:41:00,Light Snow,45.129281,-93.361962,Minneapolis,MN,20,Thursday
2,2021-09-25 14:25:00,Fair,30.26585900000001,-97.738607,Austin,TX,14,Saturday
1,2020-05-26 18:38:04,Mostly Cloudy,30.34528,-91.03114,Baton Rouge,LA,18,Tuesday
2,2019-01-24 11:18:21,Rain,41.699841,-74.409859,Ellenville,NY,11,Thursday
2,2021-05-22 00:40:30,Fair,36.804693,-76.189728,Virginia Beach,VA,0,Saturday
2,2021-12-07 06:41:34,Cloudy,36.604633,-121.860687,Monterey,CA,6,Tuesday
2,2022-07-31 19:56:00,Fair,41.28849,-72.597656,Madison,CT,19,Sunday
2,2021-11-03 07:46:00,Fog,44.93308424928221,-123.07450175226651,Salem,OR,7,Wednesday
2,2021-07-19 12:30:00,Showers in the Vicinity,27.13660597788269,-80.28775334319931,Palm City,FL,12,Monday
2,2022-06-01 12:27:39,Partly Cloudy,25.890733,-80.163416,Miami,FL,12,Wednesday
2,2016-10-14 15:38:52,Mostly Cloudy,32.939941,-96.746048,Richardson,TX,15,Friday
2,2022-06-27 23:15:13,Fair,33.731218,-80.22000799999998,Alcolu,SC,23,Monday
2,2019-09-06 17:31:00,Fair,34.065058,-117.307019,Colton,CA,17,Friday
2,2019-09-20 14:06:00,Fair,37.771792,-122.423404,San Francisco,CA,14,Friday
2,2018-12-04 07:13:00,Clear,41.031089,-111.94763,Kaysville,UT,7,Tuesday
3,2017-07-27 11:43:43,Mostly Cloudy,36.242409,-86.74968,Madison,TN,11,Thursday
2,2018-09-25 17:39:27,Clear,38.749519,-120.617928,Camino,CA,17,Tuesday
2,2018-10-12 20:59:28,Clear,40.220642,-74.03313399999998,Neptune,NJ,20,Friday
2,2021-07-21 09:46:25,Fair,35.49329,-97.521072,Oklahoma City,OK,9,Wednesday
4,2017-02-14 01:08:32,Overcast,30.036789,-95.851984,Hockley,TX,1,Tuesday
2,2016-09-06 19:55:49,Overcast,40.006477,-75.288216,Ardmore,PA,19,Tuesday
2,2021-10-23 16:01:17,Fair,35.81109,-78.580972,Raleigh,NC,16,Saturday
2,2022-05-02 06:38:00,Mostly Cloudy,32.733779,-96.764888,Dallas,TX,6,Monday
2,2017-04-02 15:19:16,Partly Cloudy,33.876465,-118.100624,Cerritos,CA,15,Sunday
2,2017-04-21 15:15:56,Mostly Cloudy,30.183477000000003,-97.849632,Austin,TX,15,Friday
2,2018-03-27 16:45:26,Overcast,40.73547,-73.85982,Rego Park,NY,16,Tuesday
2,2017-09-21 18:52:43,Overcast,41.81103,-71.44057,Providence,RI,18,Thursday
2,2020-02-27 07:00:25,Fair,32.41148,-93.81459,Shreveport,LA,7,Thursday
2,2018-12-21 10:43:38,Overcast,39.76897,-84.202713,Dayton,OH,10,Friday
2,2022-04-02 13:15:42,Mostly Cloudy,39.463545083811454,-119.7862207883845,Reno,NV,13,Saturday
2,2022-06-26 12:47:25,Partly Cloudy,40.745217,-73.847387,Flushing,NY,12,Sunday
3,2019-03-31 20:43:47,Clear,40.845654,-73.931679,New York,NY,20,Sunday
3,2021-11-03 07:37:24,Fog,39.160172,-94.640839,Riverside,MO,7,Wednesday
4,2016-12-12 12:55:46,Overcast,34.530297,-83.531111,Cornelia,GA,12,Monday
2,2016-12-02 18:20:09,Clear,37.901941,-122.07045,Walnut Creek,CA,18,Friday
3,2020-01-18 21:50:32,Mostly Cloudy,27.930662,-82.579132,Tampa,FL,21,Saturday
2,2018-06-02 06:09:25,Clear,41.249893,-112.142059,Ogden,UT,6,Saturday
3,2019-11-09 23:35:46,Fair,34.072163,-118.090561,San Gabriel,CA,23,Saturday
2,2021-10-30 03:16:00,Fair,33.948277000000004,-98.524823,Wichita Falls,TX,3,Saturday
2,2022-02-25 06:24:00,Fair,33.880951,-117.599099,Corona,CA,6,Friday
2,2022-07-21 16:38:07,Mostly Cloudy / Windy,41.876803,-87.617139,Chicago,IL,16,Thursday
3,2017-03-14 02:08:47,Clear,37.317062,-121.974922,San Jose,CA,2,Tuesday
2,2021-09-24 21:49:00,Fair,35.547777414152385,-117.92772889081036,Ridgecrest,CA,21,Friday
3,2020-09-19 07:17:12,Fair,39.641087,-75.80246,Elkton,MD,7,Saturday
2,2022-02-23 07:09:00,Mostly Cloudy,33.80623,-118.171984,Signal Hill,CA,7,Wednesday
2,2022-12-07 14:13:30,Mostly Cloudy,33.462169,-112.044382,Phoenix,AZ,14,Wednesday
2,2018-07-03 07:01:47,Clear,38.836704,-104.823357,Colorado Springs,CO,7,Tuesday
3,2019-01-25 18:11:16,Clear,39.632568,-84.20192,Dayton,OH,18,Friday
3,2022-04-06 04:10:55,Cloudy,36.038445,-83.440079,Dandridge,TN,4,Wednesday
3,2019-12-10 21:37:04,Fair,32.647503,-96.860741,Dallas,TX,21,Tuesday
2,2019-05-03 15:37:31,Cloudy,40.04224,-82.90215,Columbus,OH,15,Friday
3,2016-05-02 11:34:45,Clear,37.928844,-122.385765,Richmond,CA,11,Monday
2,2019-09-26 11:54:37,Mostly Cloudy,42.959511,-78.813889,Buffalo,NY,11,Thursday
3,2020-06-10 08:56:41,Partly Cloudy,32.883392,-80.019562,Charleston,SC,8,Wednesday
2,2022-03-06 03:45:46,Fair,34.58602309210498,-81.89263701399852,Clinton,SC,3,Sunday
2,2016-10-11 08:56:37,Overcast,28.539232,-81.405464,Orlando,FL,8,Tuesday
2,2021-05-26 13:05:01,Fair,34.063606,-118.247627,Los Angeles,CA,13,Wednesday
2,2022-10-14 07:52:00,Fair,41.946495,-78.69923399999998,Bradford,PA,7,Friday
2,2020-04-18 09:48:55,Mostly Cloudy,35.220367,-80.827347,Charlotte,NC,9,Saturday
2,2018-01-03 12:25:17,Overcast,35.830528,-78.577904,Raleigh,NC,12,Wednesday
2,2022-05-05 09:17:00,Mostly Cloudy,34.04071927054385,-118.22152733746422,Los Angeles,CA,9,Thursday
2,2017-02-28 16:48:10,Clear,38.59594,-121.395882,Sacramento,CA,16,Tuesday
2,2021-11-04 18:45:48,Cloudy,32.36612,-86.271388,Montgomery,AL,18,Thursday
3,2017-02-16 16:59:40,Mostly Cloudy,34.031166,-118.433472,Los Angeles,CA,16,Thursday
2,2022-11-11 16:13:37,Cloudy,34.879244,-82.20799,Greer,SC,16,Friday
2,2023-01-23 01:53:49,Cloudy,42.33213544,-83.08574796,Detroit,MI,1,Monday
3,2016-09-06 10:37:52,Mostly Cloudy,26.318256,-80.116394,Deerfield Beach,FL,10,Tuesday
2,2020-06-15 21:32:00,Fair,35.352222,-118.985278,Bakersfield,CA,21,Monday
2,2018-06-07 17:18:33,Scattered Clouds,35.761955,-78.744987,Cary,NC,17,Thursday
2,2021-01-18 01:00:45,Fair,45.941723,-123.919311,Seaside,OR,1,Monday
4,2019-08-05 07:36:17,Fair,28.59226,-81.38045,Winter Park,FL,7,Monday
2,2019-11-22 18:18:23,Fair,40.170212,-74.10125699999998,Belmar,NJ,18,Friday
2,2020-02-10 08:35:08,Mostly Cloudy,35.216358,-80.921829,Charlotte,NC,8,Monday
2,2022-04-08 12:36:33,Partly Cloudy,25.889347,-80.186409,North Miami,FL,12,Friday
2,2022-04-28 16:56:05,Mostly Cloudy,39.629820585061886,-104.90491747806117,Denver,CO,16,Thursday
2,2017-10-20 07:19:44,Clear,40.749386,-73.61796600000002,Carle Place,NY,7,Friday
1,2022-08-02 18:23:57,Fair,34.886471,-82.303329,Taylors,SC,18,Tuesday
2,2022-01-02 23:05:57,Fair,46.419393,-94.089427,Brainerd,MN,23,Sunday
2,2021-11-29 09:19:00,Fair,34.77360606176961,-118.17080140057482,Lancaster,CA,9,Monday
2,2020-05-05 20:41:00,Fair,37.711385,-122.127566,San Leandro,CA,20,Tuesday
2,2022-02-10 17:25:04,Fair,33.38078856452283,-86.81502699810592,Birmingham,AL,17,Thursday
3,2021-10-20 08:40:25,Partly Cloudy,34.067444,-117.567627,Ontario,CA,8,Wednesday
2,2021-11-05 19:14:00,Cloudy,30.401858,-91.105384,Baton Rouge,LA,19,Friday
3,2018-07-27 21:22:55,Scattered Clouds,44.960217,-93.201523,Saint Paul,MN,21,Friday
2,2018-01-08 08:41:11,Clear,38.8704,-94.79737,Olathe,KS,8,Monday
2,2021-08-14 10:40:00,Partly Cloudy,38.350636,-121.223784,Wilton,CA,10,Saturday
2,2021-02-02 22:32:00,Light Snow,43.17491500000001,-77.613247,Rochester,NY,22,Tuesday
3,2021-01-21 19:36:26,Mostly Cloudy,41.744354,-87.849586,Willow Springs,IL,19,Thursday
2,2020-02-18 06:52:43,Fog,45.409069,-123.052483,Hillsboro,OR,6,Tuesday
2,2018-02-01 23:33:39,Clear,38.573208,-122.840469,Healdsburg,CA,23,Thursday
2,2022-08-17 17:33:56,Partly Cloudy,34.828951,-82.52704200000002,Easley,SC,17,Wednesday
2,2019-04-12 15:39:52,Fair,44.592531,-121.13201,Madras,OR,15,Friday
2,2018-06-19 07:42:30,Clear,47.159256,-122.464577,Tacoma,WA,7,Tuesday
2,2021-04-05 11:00:29,Fair,35.20673,-80.876442,Charlotte,NC,11,Monday
2,2020-01-30 17:36:50,Cloudy,29.397224,-98.649551,San Antonio,TX,17,Thursday
2,2019-10-26 14:22:00,Partly Cloudy,37.644139,-122.491896,Pacifica,CA,14,Saturday
3,2017-12-31 07:40:14,Overcast,29.991257,-90.058449,New Orleans,LA,7,Sunday
2,2022-05-18 14:03:30,Fair,38.995269,-77.027232,Silver Spring,MD,14,Wednesday
2,2018-03-14 21:14:52,Clear,30.234537,-92.002296,Lafayette,LA,21,Wednesday
3,2018-12-28 19:01:12,Overcast,42.228817,-83.616928,Ypsilanti,MI,19,Friday
3,2018-10-24 16:33:13,Clear,45.127884,-93.486031,Maple Grove,MN,16,Wednesday
2,2020-10-29 06:27:09,Cloudy,41.995079,-73.875603,Red Hook,NY,6,Thursday
2,2019-05-31 12:51:02,Fair,37.92641,-122.05849,Walnut Creek,CA,12,Friday
2,2021-05-03 06:52:30,Cloudy,42.971982,-85.67087,Grand Rapids,MI,6,Monday
2,2019-11-14 18:19:25,Fair,33.054688,-96.830292,Plano,TX,18,Thursday
2,2022-08-22 07:02:30,Light Rain,32.618974,-97.164916,Arlington,TX,7,Monday
2,2021-01-08 14:46:30,Light Rain,35.797654,-78.56290200000002,Raleigh,NC,14,Friday
2,2021-05-15 11:06:56,Fair,36.327,-119.29229,Visalia,CA,11,Saturday
2,2021-10-28 08:28:00,Fair,32.134285,-110.8888,Tucson,AZ,8,Thursday
2,2017-09-27 05:57:07,Partly Cloudy,39.665314,-86.102554,Indianapolis,IN,5,Wednesday
